Quarter,Team,Player,Outcome,X,Y
1,Home,33,Make,-33.20,13.54
1,Home,33,Make,-33.80,16.34
1,Home,33,Make,-41.70,-7.36
1,Home,33,Make,-41.50,3.54
1,Home,33,Make,-26.50,3.04
1,Home,33,Make,-36.50,-13.66
1,Home,33,Make,-42.90,-12.26
1,Home,33,Miss,-35.40,3.94
1,Home,33,Miss,-29.00,8.74
1,Home,33,Miss,-27.40,11.84
1,Home,33,Miss,-33.30,-8.56
1,Home,33,Miss,-38.40,-9.16
1,Home,33,Miss,-40.40,-15.26
1,Home,33,Miss,-32.30,-17.86
1,Home,10,Miss,-25.40,18.84
1,Home,10,Miss,-21.90,14.04
1,Home,10,Miss,-19.90,8.94
1,Home,10,Make,-18.60,1.54
1,Home,10,Make,-18.30,-3.36
1,Home,10,Make,-19.20,-6.86
